Cd131,0.165586,0.00262613,0.0639619,0.0104494,0.0034717,0.00676589,88.2444,450,0.05,9.05
Cd132,0.066598,0.00766946,0.634695,0.133787,0.249309,0.129358,43.8737,225,0.05,9.05
Cd133,0.0473293,nan,0.311648,nan,0.000228517,0.799667,59.3747,225,0.05,9.05
In131,0.333386,0.031587,0.00124648,nan,0.000368836,0.0542198,53.5952,450,0.05,9.05
In132,0.199125,0.0427406,0.0649711,nan,0.00134614,nan,57.6916,450,0.05,9.05
In133,0.154199,0.00682917,0.849747,0.0398858,3.15449e-09,0.00315739,29.9622,225,0.05,9.05
In134,0.128387,0.00624046,0.805292,0.0548461,0.111407,0.0225439,40.3877,225,0.05,9.05
In135,0.061041,0.0106591,0.816337,0.123322,4.80686e-07,0.801734,45.5558,225,0.05,9.05
Sn134,1.57189,0.340938,0.104749,0.195327,0.00999935,0.992709,79.972,150,0.05,9.05
Sn135,0.49253,0.112619,2.29445e-05,0.73971,0.00153193,0.953711,60.0527,150,0.05,9.05
Sn136,0.383754,0.0203187,0.198637,0.0177442,4.4363e-08,0.113707,60.3497,225,0.05,9.05
Sn137,0.201077,0.0160221,0.163221,0.0360926,8.84355e-08,0.0384594,59.5825,225,0.05,9.05
Sn138,0.0887424,0.0287696,2.85431e-09,0.212295,2.29321e-08,0.791299,49.9024,100,0.05,9.05
Cd130,0.142869,0.00706983,0.0269454,0.000511371,0.00997492,0.00146744,59.0949,225,0.05,9.05
Cd130,0.143818,0.00681907,0.0239476,0.00977883,0.00343843,0.00476354,59.1289,225,0.05,9.05
Cd130,0.143818,0.00681907,0.0239476,0.00977883,0.00343843,0.00476354,59.1289,225,0.05,9.05,343.115,1.87076
Cd130,0.143822,0.00681922,0.0239503,0.00978159,0.00343655,0.00476476,59.1281,225,0.05,9.05,343.115,1.87068
Cd130,0.139996,0.00577859,0.0354474,0.0106309,0.000507833,0.0118133,50.253,225,0.05,9.05,112.931,4.96254
Cd130,0.143822,0.00681922,0.0239503,0.00978159,0.00343655,0.00476476,59.1281,225,0.05,9.05,343.115,1.87068
Cd130,0.174135,0.0118066,0.0165532,0.0110208,0.00843951,0.00541239,66.9515,225,0.05,9.05,1612.24,0.37232
Cd130,0.197093,0.0165954,0.0100143,0.0137943,0.00908088,0.00641543,68.4992,225,0.05,9.05,3316.7,0.163599
In134sim,0.14014,0.00109546,0.832669,0.00846692,0.113655,0.00339775,inf,900,0.05,9.05,201.807,7.97222
In134sim,0.139272,0.00108884,0.818943,0.00818298,0.106933,0.00318368,inf,900,0.05,9.05,201.497,7.96836
In134sim,0.139272,0.00108884,0.818943,0.00818298,0.106933,0.00318368,inf,900,0.05,9.05,201.497,7.96836
Cd130,0.138227,0.00594627,0.0320811,0.00820471,5.58088e-05,0.101487,34.1022,225,0.05,9.05,40.1126,9.6024
