# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	25000				
# Code 	brikenV68				
# Date 	13Feb18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	70.25%	68.24%	70.37%		
# Average [1e-4, 5] MeV	62.81%	62.68%	62.76%		
# Average [1e-4, 10] MeV	54.10%	54.44%	54.08%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	5	9.4	0.376	0.0039
0	0	5	9.5	0.3726	0.0039
0	0	5	9.6	0.3758	0.0039
0	0	5	9.7	0.3713	0.0039
0	0	5	9.8	0.3668	0.0038
0	0	5	9.9	0.3666	0.0038
0	0	5	10	0.3636	0.0038
					
0	0	10	0.000000001	0.5967	0.0049
0	0	10	0.000000004	0.601	0.0049
0	0	10	0.000000007	0.6204	0.005
0	0	10	0.00000001	0.6267	0.005
0	0	10	0.00000004	0.6586	0.0051
0	0	10	0.00000007	0.674	0.0052
0	0	10	0.0000001	0.6872	0.0052
0	0	10	0.0000004	0.7153	0.0053
0	0	10	0.0000007	0.7232	0.0054
0	0	10	0.000001	0.7169	0.0054
0	0	10	0.000004	0.7285	0.0054
0	0	10	0.000007	0.7342	0.0054
0	0	10	0.00001	0.734	0.0054
0	0	10	0.00004	0.733	0.0054
0	0	10	0.00007	0.7267	0.0054
0	0	10	0.0001	0.7274	0.0054
0	0	10	0.0004	0.7279	0.0054
0	0	10	0.0007	0.7251	0.0054
0	0	10	0.001	0.7225	0.0054
0	0	10	0.004	0.7164	0.0054
0	0	10	0.007	0.7173	0.0054
0	0	10	0.01	0.7139	0.0053
0	0	10	0.04	0.7176	0.0054
0	0	10	0.07	0.7057	0.0053
0	0	10	0.1	0.7142	0.0053
0	0	10	0.2	0.7027	0.0053
0	0	10	0.3	0.7025	0.0053
0	0	10	0.4	0.696	0.0053
0	0	10	0.5	0.6906	0.0053
0	0	10	0.6	0.6859	0.0052
0	0	10	0.7	0.6802	0.0052
0	0	10	0.8	0.6786	0.0052
0	0	10	0.9	0.6757	0.0052
0	0	10	1	0.6706	0.0052
0	0	10	1.1	0.6625	0.0051
0	0	10	1.2	0.6594	0.0051
0	0	10	1.3	0.6536	0.0051
0	0	10	1.4	0.6489	0.0051
0	0	10	1.5	0.6444	0.0051
0	0	10	1.6	0.6377	0.0051
0	0	10	1.7	0.6382	0.0051
0	0	10	1.8	0.6319	0.005
0	0	10	1.9	0.6333	0.005
0	0	10	2	0.625	0.005
0	0	10	2.1	0.627	0.005
0	0	10	2.2	0.6138	0.005
0	0	10	2.3	0.6106	0.0049
0	0	10	2.4	0.6094	0.0049
0	0	10	2.5	0.6055	0.0049
0	0	10	2.6	0.6094	0.0049
0	0	10	2.7	0.6039	0.0049
0	0	10	2.8	0.5988	0.0049
0	0	10	2.9	0.6001	0.0049
0	0	10	3	0.5812	0.0048
0	0	10	3.1	0.5864	0.0048
0	0	10	3.2	0.5857	0.0048
0	0	10	3.3	0.5897	0.0049
0	0	10	3.4	0.5888	0.0049
0	0	10	3.5	0.5942	0.0049
0	0	10	3.6	0.5832	0.0048
0	0	10	3.7	0.5775	0.0048
0	0	10	3.8	0.5731	0.0048
0	0	10	3.9	0.5645	0.0048
0	0	10	4	0.5649	0.0048
0	0	10	4.1	0.5636	0.0047
0	0	10	4.2	0.5521	0.0047
0	0	10	4.3	0.5465	0.0047
0	0	10	4.4	0.54	0.0046
0	0	10	4.5	0.538	0.0046
0	0	10	4.6	0.5296	0.0046
0	0	10	4.7	0.5279	0.0046
0	0	10	4.8	0.5252	0.0046
0	0	10	4.9	0.5161	0.0045
0	0	10	5	0.5144	0.0045
0	0	10	5.1	0.5117	0.0045
0	0	10	5.2	0.5093	0.0045
0	0	10	5.3	0.5024	0.0045
0	0	10	5.4	0.5038	0.0045
0	0	10	5.5	0.4982	0.0045
0	0	10	5.6	0.4976	0.0045
0	0	10	5.7	0.4926	0.0044
0	0	10	5.8	0.4921	0.0044
0	0	10	5.9	0.4893	0.0044
0	0	10	6	0.4837	0.0044
0	0	10	6.1	0.4826	0.0044
0	0	10	6.2	0.4896	0.0044
0	0	10	6.3	0.502	0.0045
